"data.all.Y","gdp.USA","gdp.Austria","gdp.Netherlands","gdp.Switzerland","gdp.Japan","data.all.X"
2284,2879,1796,2113,3387,1010,0
2388,2929,1899,2111,3625,1143,0
2527,3103,1977,2275,3788,1262,0
2610,3227,2074,2360,3946,1374,0
2806,3420,2224,2566,4158,1546,0
3005,3667,2336,2739,4360,1647,0
3168,3974,2537,2874,4575,1889,0
3241,4154,2668,3078,4790,2133,0
3571,4494,2908,3399,5138,2496,0
3998,4805,3239,3951,5645,2917,0
4367,4999,3732,4342,6382,3293,0
4686,5362,4100,4705,6938,3575,0
5055,5838,4513,4984,7406,3988,0
5553,6464,4969,5475,7998,4491,0
6074,6951,5622,6165,8800,4778,0
6603,7519,6147,6699,8934,5300,0
7367,8300,6810,7345,9368,5768,0
8090,9146,7588,7959,10240,6344,0
8928,10229,8117,8676,11003,7084,0
10067,11306,9288,9504,12189,8027,0
11083,12186,10312,10458,13853,8931,0
12115,13533,11242,11304,15338,9986,0
12761,13940,12148,11784,15963,10813,0
13519,15008,13048,12419,16611,11346,0
14481,16549,13533,13234,17710,12064,0
15291,17600,14296,13938,18812,12978,0
15998,18439,14921,14613,19458,13590,0
16679,19407,15549,15197,20120,14425,0
17786,20711,16595,16082,21334,15862,0
18994,22047,17768,17387,22965,17269,0
20465,23064,19070,18665,24518,18815,0
21602,23507,20172,19626,24840,20055,1
22154,24509,20960,20224,25141,20648,1
21878,25409,21220,20679,25427,21122,1
22371,26670,22139,21588,26031,21757,1
23035,27574,22976,22585,26485,22551,1
23742,28814,24008,23531,26394,23714,1
24156,30262,24472,24692,27850,24478,1
24931,31519,25314,25811,28835,24429,1
25755,33028,26558,26654,28887,24709,1
26943,34603,28359,28467,30461,26015,1
27449,35341,28855,30359,30806,26619,1
28348,36180,29942,31284,32751,27196,1
28855,37548,30796,31792,33516,28071,1
